id,text,source_url,comment_id,created_at,collection_source,apify_dataset_id,apify_run_id,emoji_aliases,emoji_count,cleaned_text,tokens,token_count_cleaned,topic_label,sentiment_label,confidence,include,notes,source_file,sentiment_label_normalized,include_normalized,text_missing,text_length_chars,token_count_whitespace,is_short_comment,is_duplicate_text,exclude_reason,label
Y29tbWVudDoxMDU4Njc3MDMwMTg2NjQ3XzE1MDQyNDUzODc4MTk3NDA=,"I think it shows most of us don't know how PayPal works. Let me help some:
1. You have to download a PayPal app and sign up
2. Link your Bank-Card with the account 
3. Since local currency is not supported; hence they've stipulated that currency conversion charges may apply. This means,  whilst paying, PayPal will therefore, convert local currency to dollars
4. When paying, you'll see the bill in both local and international approved currency, using a normal international or regulated bank rate. However, the transaction shall be made in dollars 

NB: This is how I know and understand it!",https://www.facebook.com/mbctv.malawi/posts/pfbid02r9bBLc1LqoPWgZJqtQmB3swu1PfyKzSrzwZjQz8MVEg3CWN2ZZptDmiT6ty7T1Bl?rdid=XLRe9ezQ9B4Hozhp#,Y29tbWVudDoxMDU4Njc3MDMwMTg2NjQ3XzE1MDQyNDUzODc4MTk3NDA=,2026-06-02T06:15:27.000Z,apify/facebook-comments-scraper,CRdrKn7PNQcDITXTx,A6j9bW9pd7VCGfzvp,,0,"i think it shows most of us don ' t know how paypal works. let me help some : <num> . you have to download a paypal app and sign up <num> . link your bank-card with the account <num> . since local currency is not supported ; hence they ' ve stipulated that currency conversion charges may apply. this means , whilst paying , paypal will therefore , convert local currency to dollars <num> . when paying , you ' ll see the bill in both local and international approved currency , using a normal international or regulated bank rate. however , the transaction shall be made in dollars nb : this is how i know and understand it!","['i', 'think', 'it', 'shows', 'most', 'of', 'us', 'don', ""'"", 't', 'know', 'how', 'paypal', 'works.', 'let', 'me', 'help', 'some', ':', '<num>', '.', 'you', 'have', 'to', 'download', 'a', 'paypal', 'app', 'and', 'sign', 'up', '<num>', '.', 'link', 'your', 'bank-card', 'with', 'the', 'account', '<num>', '.', 'since', 'local', 'currency', 'is', 'not', 'supported', ';', 'hence', 'they', ""'"", 've', 'stipulated', 'that', 'currency', 'conversion', 'charges', 'may', 'apply.', 'this', 'means', ',', 'whilst', 'paying', ',', 'paypal', 'will', 'therefore', ',', 'convert', 'local', 'currency', 'to', 'dollars', '<num>', '.', 'when', 'paying', ',', 'you', ""'"", 'll', 'see', 'the', 'bill', 'in', 'both', 'local', 'and', 'international', 'approved', 'currency', ',', 'using', 'a', 'normal', 'international', 'or', 'regulated', 'bank', 'rate.', 'however', ',', 'the', 'transaction', 'shall', 'be', 'made', 'in', 'dollars', 'nb', ':', 'this', 'is', 'how', 'i', 'know', 'and', 'understand', 'it!']",120,,,,yes,,apify/facebook-comments-scraper,,yes,False,625,101,False,False,,
Y29tbWVudDoxMDU4Njc3MDMwMTg2NjQ3XzEzMzc0MDQ0NjgyNzQxMDM=,"Finally. Tiyiphula ma guy. Now tell us where to buy the digital
Dollar",https://www.facebook.com/mbctv.malawi/posts/pfbid02r9bBLc1LqoPWgZJqtQmB3swu1PfyKzSrzwZjQz8MVEg3CWN2ZZptDmiT6ty7T1Bl?rdid=XLRe9ezQ9B4Hozhp#,Y29tbWVudDoxMDU4Njc3MDMwMTg2NjQ3XzEzMzc0MDQ0NjgyNzQxMDM=,2026-06-01T17:41:27.000Z,apify/facebook-comments-scraper,CRdrKn7PNQcDITXTx,A6j9bW9pd7VCGfzvp,,0,finally. tiyiphula ma guy. now tell us where to buy the digital dollar,"['finally.', 'tiyiphula', 'ma', 'guy.', 'now', 'tell', 'us', 'where', 'to', 'buy', 'the', 'digital', 'dollar']",13,,,,yes,,apify/facebook-comments-scraper,,yes,False,70,13,False,False,,
Y29tbWVudDoxMDU4Njc3MDMwMTg2NjQ3XzIwMDQ3NDExMzY4MzQ5NDA=,"I have been using PayPal all along in MW. 
Anyway that's a good initiative and let's hope they use the bank exchange rate.",https://www.facebook.com/mbctv.malawi/posts/pfbid02r9bBLc1LqoPWgZJqtQmB3swu1PfyKzSrzwZjQz8MVEg3CWN2ZZptDmiT6ty7T1Bl?rdid=XLRe9ezQ9B4Hozhp#,Y29tbWVudDoxMDU4Njc3MDMwMTg2NjQ3XzIwMDQ3NDExMzY4MzQ5NDA=,2026-06-01T17:43:05.000Z,apify/facebook-comments-scraper,CRdrKn7PNQcDITXTx,A6j9bW9pd7VCGfzvp,,0,i have been using paypal all along in mw. anyway that ' s a good initiative and let ' s hope they use the bank exchange rate.,"['i', 'have', 'been', 'using', 'paypal', 'all', 'along', 'in', 'mw.', 'anyway', 'that', ""'"", 's', 'a', 'good', 'initiative', 'and', 'let', ""'"", 's', 'hope', 'they', 'use', 'the', 'bank', 'exchange', 'rate.']",27,,,,yes,,apify/facebook-comments-scraper,,yes,False,125,23,False,False,,
Y29tbWVudDoxMDU4Njc3MDMwMTg2NjQ3XzIwNTE3NjY2MTIzNTM0NzQ=,Eeeeeiish finally payment in dollar will be easy,https://www.facebook.com/mbctv.malawi/posts/pfbid02r9bBLc1LqoPWgZJqtQmB3swu1PfyKzSrzwZjQz8MVEg3CWN2ZZptDmiT6ty7T1Bl?rdid=XLRe9ezQ9B4Hozhp#,Y29tbWVudDoxMDU4Njc3MDMwMTg2NjQ3XzIwNTE3NjY2MTIzNTM0NzQ=,2026-06-01T17:29:57.000Z,apify/facebook-comments-scraper,CRdrKn7PNQcDITXTx,A6j9bW9pd7VCGfzvp,,0,eeeeeiish finally payment in dollar will be easy,"['eeeeeiish', 'finally', 'payment', 'in', 'dollar', 'will', 'be', 'easy']",8,,,,yes,,apify/facebook-comments-scraper,,yes,False,48,8,False,False,,
Y29tbWVudDoxMDU4Njc3MDMwMTg2NjQ3XzE3MTA1Njg1OTAxMzUzODU=,It's time to be a billionaire,https://www.facebook.com/mbctv.malawi/posts/pfbid02r9bBLc1LqoPWgZJqtQmB3swu1PfyKzSrzwZjQz8MVEg3CWN2ZZptDmiT6ty7T1Bl?rdid=XLRe9ezQ9B4Hozhp#,Y29tbWVudDoxMDU4Njc3MDMwMTg2NjQ3XzE3MTA1Njg1OTAxMzUzODU=,2026-06-01T17:11:40.000Z,apify/facebook-comments-scraper,CRdrKn7PNQcDITXTx,A6j9bW9pd7VCGfzvp,,0,it ' s time to be a billionaire,"['it', ""'"", 's', 'time', 'to', 'be', 'a', 'billionaire']",8,,,,yes,,apify/facebook-comments-scraper,,yes,False,31,6,False,False,,
